Week_Start_Date,Units_Sold,Unit_Price_PKR,Promotion_Flag,Notes
2023-07-03,1009800,19.51,1,Monsoon disruption - Karachi distribution delays; Promotion/discount active
2023-07-10,788000,21.0,0,Monsoon disruption - Karachi distribution delays
2023-07-17,796800,21.0,0,Monsoon disruption - Karachi distribution delays
2023-07-24,783300,21.0,0,Monsoon disruption - Karachi distribution delays
2023-07-31,893000,19.25,1,Monsoon disruption - Karachi distribution delays; Promotion/discount active
2023-08-07,806400,21.0,0,Monsoon disruption - Karachi distribution delays
2023-08-14,719100,21.0,0,Monsoon disruption - Karachi distribution delays
2023-08-21,953000,21.0,0,
2023-08-28,878000,21.0,0,
2023-09-04,931300,21.0,0,
2023-09-11,1122400,18.27,1,Promotion/discount active
2023-09-18,968800,21.0,0,
2023-09-25,1016200,21.0,0,
2023-10-02,950900,21.0,0,
2023-10-09,936800,21.0,0,
2023-10-16,865000,21.0,0,
2023-10-23,844700,21.0,0,
2023-10-30,935400,21.0,0,
2023-11-06,1335100,19.11,1,Promotion/discount active
2023-11-13,947800,21.0,0,
2023-11-20,847500,21.0,0,
2023-11-27,980600,21.0,0,
2023-12-04,926300,21.0,0,
2023-12-11,880200,21.0,0,
2023-12-18,1053800,21.0,0,Winter/New Year seasonal uptick
2023-12-25,992200,21.0,0,Winter/New Year seasonal uptick
2024-01-01,1036300,21.0,0,Winter/New Year seasonal uptick
2024-01-08,925300,22.47,0,Price increase implemented
2024-01-15,989200,22.47,0,
2024-01-22,868500,22.47,0,
2024-01-29,984500,19.89,1,Promotion/discount active
2024-02-05,1155600,20.19,1,Promotion/discount active
2024-02-12,884900,22.47,0,
2024-02-19,1000800,22.47,0,
2024-02-26,912300,22.47,0,
2024-03-04,1165800,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-03-11,1219000,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-03-18,1202700,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-03-25,1293200,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-04-01,1269200,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-04-08,1325900,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-04-15,1232400,22.47,0,Ramadan/Eid-ul-Fitr demand surge
2024-04-22,1045300,22.47,0,
2024-04-29,1025700,22.47,0,
2024-05-06,820800,22.47,0,
2024-05-13,1333000,20.43,1,Promotion/discount active
2024-05-20,956200,22.47,0,
2024-05-27,1090700,20.9,1,Promotion/discount active
2024-06-03,992600,22.47,0,
2024-06-10,1108000,22.47,0,Eid-ul-Adha demand lift
2024-06-17,1121400,22.47,0,Eid-ul-Adha demand lift
2024-06-24,998600,22.47,0,
2024-07-01,1091500,22.47,0,
2024-07-08,1336300,19.83,1,Promotion/discount active
2024-07-15,1023400,22.47,0,
2024-07-22,926600,22.47,0,
2024-07-29,952600,22.47,0,
2024-08-05,1050700,22.47,0,
2024-08-12,1012800,22.47,0,
2024-08-19,842500,22.47,0,
2024-08-26,1019300,22.47,0,
2024-09-02,1047300,22.47,0,
2024-09-09,943800,22.47,0,
2024-09-16,1035800,22.47,0,
2024-09-23,1211400,20.66,1,Promotion/discount active
2024-09-30,1349000,20.26,1,Promotion/discount active
2024-10-07,1003900,24.04,0,Price increase implemented
2024-10-14,1031900,24.04,0,
2024-10-21,994500,24.04,0,
2024-10-28,1015900,24.04,0,
2024-11-04,1064800,24.04,0,
2024-11-11,943800,24.04,0,
2024-11-18,1016400,24.04,0,
2024-11-25,1017800,24.04,0,
2024-12-02,1069000,24.04,0,
2024-12-09,1000800,24.04,0,
2024-12-16,1056100,24.04,0,
2024-12-23,1382800,21.33,1,Promotion/discount active
2024-12-30,959300,24.04,0,
2025-01-06,954100,24.04,0,
2025-01-13,846100,24.04,0,
2025-01-20,975100,24.04,0,
2025-01-27,1025800,24.04,0,
2025-02-03,1004100,24.04,0,
2025-02-10,1000800,24.04,0,
2025-02-17,962200,24.04,0,
2025-02-24,1332100,24.04,0,Ramadan/Eid-ul-Fitr demand surge
2025-03-03,1465200,24.04,0,Ramadan/Eid-ul-Fitr demand surge
2025-03-10,1801100,21.04,1,Ramadan/Eid-ul-Fitr demand surge; Promotion/discount active
2025-03-17,1371800,24.04,0,Ramadan/Eid-ul-Fitr demand surge
2025-03-24,1287100,24.04,0,Ramadan/Eid-ul-Fitr demand surge
2025-03-31,1733600,22.51,1,Ramadan/Eid-ul-Fitr demand surge; Promotion/discount active
2025-04-07,1042300,24.04,0,
2025-04-14,1202700,22.28,1,Promotion/discount active
2025-04-21,934000,24.04,0,
2025-04-28,1409200,22.23,1,Promotion/discount active
2025-05-05,1041300,24.04,0,
2025-05-12,1072500,24.04,0,
2025-05-19,1186500,24.04,0,
2025-05-26,1152200,24.04,0,
2025-06-02,1248600,24.04,0,Eid-ul-Adha demand lift
2025-06-09,1149900,24.04,0,Eid-ul-Adha demand lift
2025-06-16,1052300,24.04,0,
2025-06-23,949700,24.04,0,
